dataset,experiment,seed,trainer,best_epoch,best_val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,test_auc,features,graph_layers,pooling,reverse_edges
politifact,bert_profile_graph,42,graph,15,0.8154761904761905,0.890625,0.9454545454545454,0.9285714285714286,0.9369369369369369,0.7625861155272919,0.8749999999999999,bert profile,2,mean_max,True
politifact,bert_profile_graph,43,graph,13,0.6736842105263158,0.84375,0.896551724137931,0.9285714285714286,0.9122807017543859,0.5989974937343359,0.7388392857142857,bert profile,2,mean_max,True
politifact,bert_profile_graph,44,graph,6,0.7327586206896552,0.828125,0.8813559322033898,0.9285714285714286,0.9043478260869565,0.5290969899665552,0.7321428571428572,bert profile,2,mean_max,True
politifact,bert_only_graph,42,graph,7,0.8248587570621468,0.921875,0.9473684210526315,0.9642857142857143,0.9557522123893806,0.8112094395280236,0.9575892857142857,bert,2,mean_max,True
politifact,bert_only_graph,43,graph,2,0.48333333333333334,0.875,0.875,1.0,0.9333333333333333,0.4666666666666667,0.6160714285714286,bert,2,mean_max,True
politifact,bert_only_graph,44,graph,19,0.7584415584415585,0.875,1.0,0.8571428571428571,0.9230769230769231,0.7948717948717949,0.9754464285714286,bert,2,mean_max,True
politifact,profile_only_graph,42,graph,4,0.5974025974025974,0.8125,0.9074074074074074,0.875,0.8909090909090909,0.6121212121212121,0.515625,profile,2,mean_max,True
politifact,profile_only_graph,43,graph,9,0.7327586206896552,0.8125,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.5714285714285714,0.546875,profile,2,mean_max,True
politifact,profile_only_graph,44,graph,6,0.6736842105263158,0.8125,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.5714285714285714,0.4464285714285714,profile,2,mean_max,True
politifact,bert_profile_no_graph,42,graph,10,0.6423076923076922,0.6875,0.875,0.75,0.8076923076923077,0.48717948717948717,0.4977678571428571,bert profile,0,mean_max,True
politifact,bert_profile_no_graph,43,graph,10,0.5694444444444444,0.734375,0.8823529411764706,0.8035714285714286,0.8411214953271028,0.5157988429016467,0.47991071428571425,bert profile,0,mean_max,True
politifact,bert_profile_no_graph,44,graph,19,0.6736842105263158,0.8125,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.5714285714285714,0.8125,bert profile,0,mean_max,True
politifact,graph_size_control,42,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
politifact,graph_size_control,43,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
politifact,graph_size_control,44,size_control,0,0.3541666666666667,0.578125,0.9142857142857143,0.5714285714285714,0.7032967032967034,0.4867834867834868,0.6796875,graph_size,0,size_only,
politifact,bert_profile_graph_mean_pool,42,graph,4,0.7327586206896552,0.8125,0.8793103448275862,0.9107142857142857,0.8947368421052632,0.518796992481203,0.3883928571428572,bert profile,2,mean,True
politifact,bert_profile_graph_mean_pool,43,graph,11,0.7327586206896552,0.84375,0.896551724137931,0.9285714285714286,0.9122807017543859,0.5989974937343359,0.7991071428571428,bert profile,2,mean,True
politifact,bert_profile_graph_mean_pool,44,graph,5,0.7327586206896552,0.84375,0.8833333333333333,0.9464285714285714,0.9137931034482759,0.5402298850574713,0.39732142857142855,bert profile,2,mean,True
politifact,bert_profile_graph_root_pool,42,graph,4,0.7327586206896552,0.875,0.9444444444444444,0.9107142857142857,0.9272727272727272,0.7414141414141414,0.9241071428571428,bert profile,2,root,True
politifact,bert_profile_graph_root_pool,43,graph,6,0.7327586206896552,0.875,0.98,0.875,0.9245283018867925,0.7804459691252144,0.9397321428571429,bert profile,2,root,True
politifact,bert_profile_graph_root_pool,44,graph,14,0.8912280701754386,0.890625,1.0,0.875,0.9333333333333333,0.8144927536231884,0.9977678571428571,bert profile,2,root,True
politifact,bert_profile_no_graph_mean_pool,42,graph,15,0.7327586206896552,0.765625,0.8596491228070176,0.875,0.8672566371681416,0.4336283185840708,0.3080357142857143,bert profile,0,mean,True
politifact,bert_profile_no_graph_mean_pool,43,graph,12,0.7327586206896552,0.796875,0.864406779661017,0.9107142857142857,0.8869565217391304,0.4434782608695652,0.3727678571428571,bert profile,0,mean,True
politifact,bert_profile_no_graph_mean_pool,44,graph,9,0.7327586206896552,0.796875,0.8909090909090909,0.875,0.8828828828828829,0.5590885002649708,0.45089285714285715,bert profile,0,mean,True
politifact,bert_profile_no_graph_root_pool,42,graph,9,0.7327586206896552,0.921875,0.9811320754716981,0.9285714285714286,0.9541284403669725,0.8454852728150652,0.9799107142857142,bert profile,0,root,True
politifact,bert_profile_no_graph_root_pool,43,graph,6,0.7327586206896552,0.90625,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.7857142857142857,0.9642857142857142,bert profile,0,root,True
politifact,bert_profile_no_graph_root_pool,44,graph,6,0.7327586206896552,0.90625,1.0,0.8928571428571429,0.9433962264150944,0.8353344768439108,0.9821428571428571,bert profile,0,root,True
gossipcop,bert_profile_graph,42,graph,12,0.9834037508738867,0.9414990859232175,0.9276672694394213,0.9553072625698324,0.9412844036697248,0.9414983038385054,0.9784192384715938,bert profile,2,mean_max,True
gossipcop,bert_profile_graph,43,graph,14,0.9797156955125282,0.9616087751371115,0.9714285714285714,0.9497206703910615,0.96045197740113,0.9615758998906183,0.9887532638603318,bert profile,2,mean_max,True
gossipcop,bert_profile_graph,44,graph,5,0.9760806343450819,0.9351005484460695,0.9059233449477352,0.9683426443202979,0.9360936093609361,0.935084873389846,0.9791480697672086,bert profile,2,mean_max,True
gossipcop,bert_only_graph,42,graph,1,0.9723716835056588,0.9277879341864717,0.9089285714285714,0.9478584729981379,0.9279854147675478,0.9277873911601259,0.969603054404916,bert,2,mean_max,True
gossipcop,bert_only_graph,43,graph,14,0.9760418811409979,0.9396709323583181,0.9305301645338209,0.9478584729981379,0.9391143911439115,0.9396658912241296,0.9841663072659131,bert,2,mean_max,True
gossipcop,bert_only_graph,44,graph,3,0.976068376068376,0.9360146252285192,0.9075043630017452,0.9683426443202979,0.9369369369369369,0.936000936000936,0.9710406574192016,bert,2,mean_max,True
