dataset,experiment,seed,trainer,best_epoch,best_val_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,test_auc,features,graph_layers,pooling,reverse_edges
politifact,bert_only_graph_mean_pool,42,graph,16,0.7327586206896552,0.84375,0.8833333333333333,0.9464285714285714,0.9137931034482759,0.5402298850574713,0.8660714285714286,bert,2,mean,True
politifact,bert_only_graph_mean_pool,43,graph,9,0.8248587570621468,0.875,0.8870967741935484,0.9821428571428571,0.9322033898305084,0.5661016949152542,0.9129464285714286,bert,2,mean,True
politifact,bert_only_graph_mean_pool,44,graph,12,0.6736842105263158,0.859375,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.5524475524475525,0.8973214285714286,bert,2,mean,True
politifact,bert_only_graph_root_pool,42,graph,10,0.7327586206896552,0.953125,0.9491525423728814,1.0,0.9739130434782609,0.8715719063545151,1.0,bert,2,root,True
politifact,bert_only_graph_root_pool,43,graph,9,0.7327586206896552,0.921875,1.0,0.9107142857142857,0.9532710280373832,0.8575878949710725,0.984375,bert,2,root,True
politifact,bert_only_graph_root_pool,44,graph,6,0.7327586206896552,0.921875,0.9811320754716981,0.9285714285714286,0.9541284403669725,0.8454852728150652,0.9888392857142857,bert,2,root,True
politifact,bert_only_no_graph_mean_pool,42,graph,5,0.5230769230769231,0.671875,0.9069767441860465,0.6964285714285714,0.7878787878787878,0.5318704284221525,0.6071428571428571,bert,0,mean,True
politifact,bert_only_no_graph_mean_pool,43,graph,1,0.48333333333333334,0.875,0.875,1.0,0.9333333333333333,0.4666666666666667,0.5178571428571428,bert,0,mean,True
politifact,bert_only_no_graph_mean_pool,44,graph,3,0.48333333333333334,0.875,0.875,1.0,0.9333333333333333,0.4666666666666667,0.5379464285714286,bert,0,mean,True
politifact,bert_only_no_graph_root_pool,42,graph,8,0.7327586206896552,0.96875,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9285714285714286,0.9955357142857143,bert,0,root,True
politifact,bert_only_no_graph_root_pool,43,graph,5,0.7327586206896552,0.9375,0.9814814814814815,0.9464285714285714,0.9636363636363636,0.8707070707070708,0.984375,bert,0,root,True
politifact,bert_only_no_graph_root_pool,44,graph,9,0.7327586206896552,0.921875,1.0,0.9107142857142857,0.9532710280373832,0.8575878949710725,0.984375,bert,0,root,True
politifact,profile_only_graph_mean_pool,42,graph,13,0.7327586206896552,0.84375,0.8833333333333333,0.9464285714285714,0.9137931034482759,0.5402298850574713,0.46875,profile,2,mean,True
politifact,profile_only_graph_mean_pool,43,graph,8,0.7327586206896552,0.859375,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.6147157190635452,0.33035714285714285,profile,2,mean,True
politifact,profile_only_graph_mean_pool,44,graph,8,0.6736842105263158,0.8125,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.5714285714285714,0.34375,profile,2,mean,True
politifact,profile_only_graph_root_pool,42,graph,20,0.6131907308377897,0.609375,0.8604651162790697,0.6607142857142857,0.7474747474747475,0.44270289097875304,0.4330357142857143,profile,2,root,True
politifact,profile_only_graph_root_pool,43,graph,3,0.6736842105263158,0.765625,0.8867924528301887,0.8392857142857143,0.8623853211009175,0.5364558184451955,0.4486607142857143,profile,2,root,True
politifact,profile_only_graph_root_pool,44,graph,34,0.6750524109014675,0.71875,0.88,0.7857142857142857,0.8301886792452831,0.5060034305317325,0.6383928571428572,profile,2,root,True
politifact,profile_only_no_graph_mean_pool,42,graph,5,0.7327586206896552,0.765625,0.8596491228070176,0.875,0.8672566371681416,0.4336283185840708,0.28125,profile,0,mean,True
politifact,profile_only_no_graph_mean_pool,43,graph,8,0.7327586206896552,0.78125,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.43859649122807015,0.3995535714285714,profile,0,mean,True
politifact,profile_only_no_graph_mean_pool,44,graph,9,0.7327586206896552,0.765625,0.8596491228070176,0.875,0.8672566371681416,0.4336283185840708,0.28348214285714285,profile,0,mean,True
politifact,profile_only_no_graph_root_pool,42,graph,6,0.5694444444444444,0.71875,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.4666666666666667,0.3638392857142857,profile,0,root,True
politifact,profile_only_no_graph_root_pool,43,graph,22,0.6309523809523809,0.75,0.8703703703703703,0.8392857142857143,0.8545454545454545,0.48282828282828283,0.390625,profile,0,root,True
politifact,profile_only_no_graph_root_pool,44,graph,20,0.6736842105263158,0.75,0.8703703703703703,0.8392857142857143,0.8545454545454545,0.48282828282828283,0.37276785714285715,profile,0,root,True
